Year Month Day Ten_Min_Avg Ten_Min_StD
2001.0 6.0 11.0 15.1 2.8
2001.0 6.0 11.0 14.8 2.8
2001.0 6.0 11.0 12.8 2.5
2001.0 6.0 11.0 9.6 1.4
2001.0 6.0 11.0 12.5 1.8
2001.0 6.0 11.0 15.5 2.0
2001.0 6.0 11.0 18.9 2.0
2001.0 6.0 11.0 19.8 1.8
2001.0 6.0 11.0 20.4 2.4
2001.0 6.0 11.0 19.3 2.5
2001.0 6.0 11.0 20.6 3.5
2001.0 6.0 11.0 22.3 2.7
2001.0 6.0 11.0 22.6 3.0
2001.0 6.0 11.0 21.0 3.1
2001.0 6.0 11.0 23.3 3.9
2001.0 6.0 11.0 21.9 3.0
2001.0 6.0 11.0 22.8 3.1
2001.0 6.0 11.0 24.6 3.3
2001.0 6.0 11.0 24.0 3.0
2001.0 6.0 11.0 25.0 3.6
2001.0 6.0 11.0 26.9 3.7
2001.0 6.0 11.0 28.4 3.7
2001.0 6.0 11.0 27.1 3.7
2001.0 6.0 11.0 24.4 3.2
2001.0 6.0 11.0 24.4 4.5
2001.0 6.0 11.0 28.8 3.9
2001.0 6.0 11.0 28.9 3.4
2001.0 6.0 11.0 28.5 2.6
2001.0 6.0 11.0 27.5 3.5
2001.0 6.0 11.0 24.9 2.9
2001.0 6.0 11.0 27.0 3.6
2001.0 6.0 11.0 25.7 3.4
2001.0 6.0 11.0 26.6 4.0
2001.0 6.0 11.0 25.2 3.5
2001.0 6.0 11.0 28.6 4.0
2001.0 6.0 11.0 32.5 5.0
2001.0 6.0 11.0 32.7 4.3
2001.0 6.0 11.0 30.2 2.6
2001.0 6.0 11.0 30.0 3.9
2001.0 6.0 11.0 24.9 3.0
2001.0 6.0 11.0 25.7 2.9
2001.0 6.0 11.0 24.5 2.8
2001.0 6.0 11.0 24.5 3.1
2001.0 6.0 11.0 26.7 3.7
2001.0 6.0 11.0 25.9 3.1
2001.0 6.0 11.0 27.5 3.0
2001.0 6.0 11.0 28.2 2.9
2001.0 6.0 11.0 26.2 2.5
2001.0 6.0 11.0 26.8 2.6
2001.0 6.0 11.0 26.7 2.8
2001.0 6.0 11.0 26.7 2.5
2001.0 6.0 11.0 25.5 2.4
2001.0 6.0 11.0 25.4 2.5
2001.0 6.0 11.0 24.9 2.7
2001.0 6.0 11.0 25.2 2.5
2001.0 6.0 11.0 27.8 3.3
2001.0 6.0 11.0 27.1 2.4
2001.0 6.0 11.0 26.8 2.5
2001.0 6.0 11.0 27.6 2.6
2001.0 6.0 11.0 26.6 2.9
2001.0 6.0 11.0 26.4 2.7
2001.0 6.0 11.0 27.1 2.5
2001.0 6.0 11.0 24.7 2.9
2001.0 6.0 11.0 23.1 2.1
2001.0 6.0 11.0 22.1 2.1
2001.0 6.0 11.0 22.0 2.0
2001.0 6.0 11.0 21.2 2.1
2001.0 6.0 11.0 22.9 2.4
2001.0 6.0 11.0 21.6 2.0
2001.0 6.0 11.0 22.2 2.2
