Date UTC;HR (%)
30/03/99 09h00;67
30/03/99 12h00;43
30/03/99 15h00;40
30/03/99 18h00;49
30/03/99 21h00;71
31/03/99 00h00;87
31/03/99 03h00;93
31/03/99 06h00;93
31/03/99 09h00;55
31/03/99 12h00;38
31/03/99 15h00;34
31/03/99 18h00;40
31/03/99 21h00;59
01/04/99 00h00;58
01/04/99 03h00;67
01/04/99 06h00;82
01/04/99 09h00;77
01/04/99 12h00;49
01/04/99 15h00;56
01/04/99 18h00;72
01/04/99 21h00;87
02/04/99 00h00;93
02/04/99 03h00;100
02/04/99 06h00;100
02/04/99 09h00;67
02/04/99 12h00;49
02/04/99 15h00;49
02/04/99 18h00;55
02/04/99 21h00;67
03/04/99 00h00;82
03/04/99 03h00;82
03/04/99 06h00;88
03/04/99 09h00;77
03/04/99 12h00;88
03/04/99 15h00;94
03/04/99 18h00;88
03/04/99 21h00;88
04/04/99 00h00;94
04/04/99 03h00;94
04/04/99 06h00;100
04/04/99 09h00;77
04/04/99 12h00;68
04/04/99 15h00;64
04/04/99 18h00;72
04/04/99 21h00;88
05/04/99 00h00;87
05/04/99 03h00;93
05/04/99 06h00;93
05/04/99 09h00;72
05/04/99 12h00;44
05/04/99 15h00;39
05/04/99 18h00;50
05/04/99 21h00;68
06/04/99 00h00;88
06/04/99 03h00;93
06/04/99 06h00;93
06/04/99 09h00;68
06/04/99 12h00;60
06/04/99 15h00;73
06/04/99 18h00;77
06/04/99 21h00;88
07/04/99 00h00;94
07/04/99 03h00;82
07/04/99 06h00;87
07/04/99 09h00;63
07/04/99 12h00;59
07/04/99 15h00;55
07/04/99 18h00;67
07/04/99 21h00;71
08/04/99 00h00;82
08/04/99 03h00;82
08/04/99 06h00;81
08/04/99 09h00;81
08/04/99 12h0008/04/99 15h00;45
08/04/99 18h0008/04/99 21h00;82
09/04/99 00h00;93
09/04/99 03h00;93
09/04/99 06h00;93
09/04/99 09h00;72
09/04/99 12h00;45
09/04/99 15h00;52
09/04/99 18h00;67
09/04/99 21h00;93
10/04/99 00h00;93
10/04/99 03h00;93
10/04/99 06h00;93
10/04/99 09h00;82
10/04/99 12h00;77
10/04/99 15h00;82
10/04/99 18h00;88
10/04/99 21h00;94
11/04/99 00h00;93
11/04/99 03h00;87
11/04/99 06h00;100
11/04/99 09h00;82
11/04/99 12h00;67
11/04/99 15h00;77
11/04/99 18h00;76
11/04/99 21h00;82
12/04/99 00h00;81
12/04/99 03h00;81
12/04/99 06h00;82
12/04/99 09h00;88
12/04/99 12h00;88
12/04/99 15h00;72
12/04/99 18h00;82
12/04/99 21h00;82
13/04/99 00h00;82
13/04/99 03h00;93
13/04/99 06h00;93
13/04/99 09h00;71
13/04/99 12h00;54
13/04/99 15h00;51
13/04/99 18h00;66
13/04/99 21h00;93
14/04/99 00h00;93
14/04/99 03h00;87
14/04/99 06h00;93
14/04/99 09h00;93
14/04/99 12h00;82
14/04/99 15h00;93
14/04/99 18h00;87
14/04/99 21h0015/04/99 00h00;81
15/04/99 03h00;87
15/04/99 06h00;87
15/04/99 09h00;66
15/04/99 12h00;44
15/04/99 15h00;76
15/04/99 18h00;71
